"datetime","deployment","pm10.avg","wd","ws"
2015-12-04 14:00:00,"T29-4N",153.3124,139.7114,1.371876352
2015-12-04 15:00:00,"T29-4N",30.61281,144.7504,3.233708544
2015-12-04 16:00:00,"T29-4N",10.68436,176.0459,3.037726208
2015-12-04 17:00:00,"T29-4N",17.41001,107.1503,1.371876352
2015-12-04 18:00:00,"T29-4N",30.78321,94.34814,1.567858688
2015-12-04 19:00:00,"T29-4N",7.897685,164.6785,3.723664384
2015-12-04 20:00:00,"T29-4N",38.84681,78.90628,1.861832192
2015-12-04 21:00:00,"T29-4N",22.61616,343.83,1.95982336
2015-12-04 22:00:00,"T29-4N",11.12666,332.5862,4.507593728
2015-12-04 23:00:00,"T29-4N",15.6229,330.3843,2.743752704
2015-12-05 00:00:00,"T29-4N",25.92025,247.4144,1.077902848
2015-12-05 01:00:00,"T29-4N",12.06792,235.3166,0.587947008
2015-12-05 02:00:00,"T29-4N",26.78816,213.5961,0.97991168
2015-12-05 03:00:00,"T29-4N",27.72074,11.05962,0.783929344
2015-12-05 04:00:00,"T29-4N",14.37542,274.9821,1.273885184
2015-12-05 05:00:00,"T29-4N",9.300406,347.1048,1.175894016
2015-12-05 06:00:00,"T29-4N",12.85167,329.5845,2.645761536
2015-12-05 07:00:00,"T29-4N",9.559135,336.4982,1.175894016
2015-12-05 08:00:00,"T29-4N",23.36963,82.34142,0.97991168
2015-12-05 09:00:00,"T29-4N",35.30225,78.59203,1.46986752
2015-12-05 10:00:00,"T29-4N",8.02338,92.57964,1.077902848
2015-12-05 11:00:00,"T29-4N",9.921692,100.5314,1.273885184
2015-12-05 12:00:00,"T29-4N",10.18257,96.46557,2.057814528
2015-12-05 13:00:00,"T29-4N",16.83142,126.3458,0.97991168
2015-12-05 14:00:00,"T29-4N",10.21942,141.2914,1.371876352
2015-12-05 15:00:00,"T29-4N",5.709184,122.8955,0.783929344
2015-12-05 16:00:00,"T29-4N",4.677408,122.4296,1.273885184
2015-12-05 17:00:00,"T29-4N",43.01503,169.2233,1.763841024
2015-12-05 18:00:00,"T29-4N",46.3801,135.0648,1.175894016
2015-12-05 19:00:00,"T29-4N",44.16533,154.7458,2.743752704
2015-12-05 20:00:00,"T29-4N",17.04776,145.4136,2.93973504
2015-12-05 21:00:00,"T29-4N",25.99129,169.2298,1.95982336
