"data.id.x","datetime","dca.group","teom.uw","ws.uw","wd.uw","pm10.uw","teom.dw","ws.dw","wd.dw","pm10.dw","day"
151407,2015-12-02 22:00:00,"central (T12)","T11",0.685938176,180.4151,4.16751418032787,"T16",0.97991168,184.637,9.9643504,2
151428,2015-12-03 19:00:00,"central (T12)","T11",9.113178624,184.8342,6.26452031666667,"T16",11.170993152,180.2504,154.33316440678,3
151429,2015-12-03 20:00:00,"central (T12)","T11",7.3493376,182.2573,7.58791203389831,"T16",5.781478912,176.7394,136.50918,3
148002,2015-12-28 13:00:00,"central (T12)","T16",2.645761536,350.035,17.46969,"T11",3.233708544,0.5049759,7.61895683333333,28
148011,2015-12-28 22:00:00,"central (T12)","T16",7.643311104,7.073997,4.562823,"T11",9.211169792,6.56252,5.37124966101695,28
148012,2015-12-28 23:00:00,"central (T12)","T16",6.663399424,1.709983,5.25691933333333,"T11",8.623222784,7.357911,4.430712,28
148014,2015-12-29 01:00:00,"central (T12)","T16",8.133266944,0.03467647,5.2145385,"T11",6.36942592,2.340661,4.4160905,29
148018,2015-12-29 05:00:00,"central (T12)","T16",8.81920512,354.4021,6.089424,"T11",8.231258112,0.01733821,5.02206,29
148019,2015-12-29 06:00:00,"central (T12)","T16",7.447328768,348.1885,4.1555615,"T11",6.663399424,0.03467647,4.84561213114754,29
148038,2015-12-30 01:00:00,"central (T12)","T16",2.4497792,349.1703,4.73390458333333,"T11",1.175894016,354.1832,6.15221661016949,30
146298,2015-12-11 21:00:00,"central (T12)","T16",7.545319936,353.9209,4.638671,"T11",9.407152128,351.6193,4.56672466666667,11
146299,2015-12-11 22:00:00,"central (T12)","T16",7.153355264,0.2037242,4.291314,"T11",6.957372928,4.546951,4.40444383333333,11
146309,2015-12-12 08:00:00,"central (T12)","T16",8.721213952,348.7628,5.2522155,"T11",5.193531904,3.621523,5.9915791,12
146310,2015-12-12 09:00:00,"central (T12)","T16",8.81920512,347.8504,5.75496,"T11",7.447328768,354.3934,9.3704345,12
146312,2015-12-12 11:00:00,"central (T12)","T16",7.055364096,351.0341,3.75139275,"T11",8.133266944,2.011235,9.23743916666667,12
146315,2015-12-12 14:00:00,"central (T12)","T16",6.85938176,6.317617,2.63154643333333,"T11",3.42969088,352.9088,4.61133596666667,12
144708,2015-12-04 15:00:00,"north (T29)","T29-4S",2.351788032,152.7238,0.416003066666668,"T29-4N",3.233708544,144.7504,-1.52209814754099,4
144736,2015-12-05 19:00:00,"north (T29)","T29-4S",2.057814528,153.0944,-11.3786532166667,"T29-4N",2.743752704,154.7458,-11.9683025,5
144737,2015-12-05 20:00:00,"north (T29)","T29-4S",2.155805696,141.8874,24.5322343220339,"T29-4N",2.93973504,145.4136,13.8760253559322,5
144776,2015-12-07 11:00:00,"north (T29)","T29-4S",4.017637888,140.0994,2.00469915254237,"T29-4N",3.91964672,150.9163,-4.0323719,7
145649,2015-12-12 20:00:00,"north (T29)","T29-4S",2.155805696,154.4814,4.09219833333333,"T29-4N",1.95982336,159.2646,5.86061371666667,12
146726,2015-12-19 16:00:00,"north (T29)","T29-4S",7.153355264,145.6151,8.60094524590164,"T29-4N",9.897107968,137.9343,8.96603966666667,19
146791,2015-12-22 09:00:00,"north (T29)","T29-4S",1.567858688,152.1039,8.36087376666667,"T29-4N",0.587947008,148.6363,6.45488695,22
146822,2015-12-23 16:00:00,"north (T29)","T29-4S",4.703576064,157.3249,13.8709868852459,"T29-4N",4.311611392,155.0905,13.0267995,23
147881,2015-12-30 14:00:00,"north (T29)","T29-4S",0.881920512,155.9422,11.461323220339,"T29-4N",1.46986752,153.66,6.15796416666667,30
147910,2015-12-31 19:00:00,"north (T29)","T29-4S",1.175894016,151.4234,8.11028237288136,"T29-4N",2.4497792,140.5654,6.63562616666666,31
150150,2015-12-03 21:00:00,"north (T29)","T29-4S",4.507593728,159.1671,8.32654155932203,"T29-4N",9.701125632,139.6074,11.2495225423729,3
150151,2015-12-03 22:00:00,"north (T29)","T29-4S",5.487505408,156.3627,9.82529776666667,"T29-4N",8.525231616,159.0826,12.6699454166667,3
145214,2015-12-04 22:00:00,"north (T29)","T29-4N",4.507593728,332.5862,2.0318876,"T29-4S",2.351788032,339.6299,3.62853331147541,4
145222,2015-12-05 06:00:00,"north (T29)","T29-4N",2.645761536,329.5845,8.03066066666667,"T29-4S",2.841743872,332.2807,5.66702916949153,5
145223,2015-12-05 07:00:00,"north (T29)","T29-4N",1.175894016,336.4982,23.3663954333333,"T29-4S",0.587947008,319.303,16.4769833666667,5
145241,2015-12-06 01:00:00,"north (T29)","T29-4N",3.233708544,323.8954,7.80524126666667,"T29-4S",2.4497792,328.1888,6.13020968333333,6
145258,2015-12-06 18:00:00,"north (T29)","T29-4N",2.4497792,324.9357,0.905291474576271,"T29-4S",1.46986752,326.6327,8.13191278333333,6
145265,2015-12-07 01:00:00,"north (T29)","T29-4N",1.46986752,337.0291,26.238609440678,"T29-4S",0.881920512,325.2587,4.80663745,7
145274,2015-12-07 10:00:00,"north (T29)","T29-4N",1.763841024,324.3679,27.3721866666667,"T29-4S",1.077902848,337.2004,16.6088568333333,7
145310,2015-12-08 22:00:00,"north (T29)","T29-4N",2.253796864,318.9345,12.2072513166667,"T29-4S",2.155805696,322.6558,24.6391440983606,8
145369,2015-12-11 09:00:00,"north (T29)","T29-4N",10.485054976,319.886,11.6296228644068,"T29-4S",9.211169792,329.3223,12.2628750666667,11
146122,2015-12-11 14:00:00,"north (T29)","T29-4N",5.781478912,331.3943,0,"T29-4S",6.173443584,332.9742,295.070496266667,11
146123,2015-12-11 15:00:00,"north (T29)","T29-4N",10.975010816,321.583,38.9185766666667,"T29-4S",13.816754688,337.7487,51.0552628333333,11
146131,2015-12-11 23:00:00,"north (T29)","T29-4N",7.937284608,335.4644,3.3302572,"T29-4S",8.525231616,338.4097,2.58248601666667,11
146140,2015-12-12 08:00:00,"north (T29)","T29-4N",9.7991168,336.2771,10.0300045666667,"T29-4S",10.77902848,334.6343,6.22215716666667,12
146141,2015-12-12 09:00:00,"north (T29)","T29-4N",10.093090304,335.1501,7.65745583333333,"T29-4S",9.603134464,337.4886,29.7478876666667,12
146142,2015-12-12 10:00:00,"north (T29)","T29-4N",12.248896,333.399,11.0191128833333,"T29-4S",10.583046144,333.6634,32.2372193333333,12
146148,2015-12-12 16:00:00,"north (T29)","T29-4N",3.037726208,322.4239,4.39345246666667,"T29-4S",3.91964672,337.7314,3.53705221666667,12
